label,problem,algorithm,mode,variation,dvl_fraction,m,problem_k,max_evaluations,seed,cpu_time_seconds,model_training_time,real_evaluation_time,objective_calls,dvl_evaluations,moea_evaluations,sample_size,estimated_points,population_size_final,hypervolume,status,error_message
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,51,0.8984773970005335,0.7490212090197019,0.006253185172681697,250,188,62,97,91,1,0.2772189443373651,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,52,0.06018102199595887,0.0,0.006644188892096281,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,52,0.2587382940109819,0.18113858700962737,0.006533180989208631,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,52,0.5134299920027843,0.4081113770225784,0.006221780990017578,250,125,125,63,62,1,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,52,0.9196791160065914,0.765032736962894,0.006201681142556481,250,188,62,97,91,1,0.5236913809352519,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,53,0.060705138006596826,0.0,0.006320286920526996,250,0,250,0,0,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_25,0.25,3,10,250,53,0.25206905700906646,0.1756050659896573,0.006309451011475176,250,62,188,31,31,91,0.0,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_50,0.5,3,10,250,53,0.5392989450047025,0.4225902630132623,0.006247797005926259,250,125,125,63,62,91,0.1802934863713043,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,dvl_framework,dvl_75,0.75,3,10,250,53,0.9258853619976435,0.7713142070278991,0.006151397945359349,250,188,62,97,91,1,0.32421614288078326,success,
DTLZ1_m3_e250,DTLZ1,NSGAII,pure_moea,pure_moea,0.0,3,10,250,54,0.05929971800651401,0.0,0.006313733028946444,250,0,250,0,0,91,0.0,success,
